0.0,35.24971,35.156113,35.440613,35.553787,35.860588,35.35931,34.9723,35.5432,35.79709,35.602688,35.52011,35.525112
5.0,35.63149,35.3456,35.482,35.5932,35.9155,35.40649,35.13991,35.590088,35.87679,35.645588,35.68509,35.63081
10.0,36.04109,35.601387,35.64669,35.749,35.9958,35.5802,35.526012,35.65671,36.004612,35.75689,35.77869,35.71539
15.0,36.0964,35.73589,35.811913,35.8915,36.09799,35.633812,35.560913,35.673088,36.05361,35.8141,35.809288,35.76099
20.0,36.08539,35.851387,35.902912,35.81049,36.15519,35.64859,35.67321,35.725,36.0425,35.882187,35.856087,35.81479
25.0,36.027313,35.82651,35.986412,35.8618,36.193188,35.690613,35.7239,35.84291,36.070812,35.95269,35.882187,35.8431
30.0,35.98231,35.7607,36.04689,35.877213,36.1953,35.70239,35.72759,35.83759,36.09799,35.91129,35.9938,35.8032
35.0,35.95239,35.753513,36.038113,35.847313,36.173412,35.6939,35.866013,35.835987,36.1419,36.0896,35.935112,35.763813
40.0,35.9271,35.75751,36.04929,35.830013,36.18581,35.7231,35.94321,35.882412,36.22229,36.0061,35.807587,35.72131
45.0,35.927288,35.74609,35.951412,35.775513,36.139587,35.754013,35.93409,35.864113,36.181187,35.911312,35.88949,35.60221
50.0,35.895813,35.71859,35.8988,35.726387,36.102413,35.804787,35.887413,35.77851,36.13609,35.87151,35.84539,35.507412
55.0,35.87639,35.65239,35.9464,35.72049,36.000813,35.85069,35.89319,35.75941,36.0526,35.83949,35.764812,35.44809
