Ponto;Lat;Lon;Altura;Altura G;Altura C;Lon UTM;Lat UTM
AUTO0178;-23,97586;-46,32243;-5,06;-4,6;-0,46;365461,089496029;7347815,10171142
AUTO0179;-23,97586;-46,32243;-5,061;-4,6;-0,461;365461,089496029;7347815,10171142
AUTO0180;-23,97587;-46,32242;-5,08;-4,6;-0,48;365462,117366555;7347814,0039214
AUTO0181;-23,97587;-46,32242;-5,113;-4,6;-0,513000000000001;365462,117366555;7347814,0039214
AUTO0182;-23,97587;-46,32241;-5,086;-4,6;-0,486000000000001;365463,134849621;7347814,01346589
AUTO0183;-23,97588;-46,3224;-5,099;-4,6;-0,499000000000001;365464,16271991;7347812,91567573
AUTO0184;-23,97588;-46,3224;-5,114;-4,6;-0,514;365464,16271991;7347812,91567573
AUTO0185;-23,97589;-46,32239;-5,071;-4,6;-0,471;365465,190590044;7347811,81788551
AUTO0186;-23,97589;-46,32239;-5,082;-4,6;-0,482;365465,190590044;7347811,81788551
AUTO0187;-23,97589;-46,32238;-5,086;-4,6;-0,486000000000001;365466,208072944;7347811,82742979
AUTO0188;-23,9759;-46,32237;-5,073;-4,6;-0,473000000000001;365467,235942841;7347810,72963943
AUTO0189;-23,9759;-46,32237;-5,091;-4,6;-0,491000000000001;365467,235942841;7347810,72963943
AUTO0190;-23,97591;-46,32236;-5,1;-4,6;-0,5;365468,263812581;7347809,631849
AUTO0191;-23,97591;-46,32236;-5,108;-4,6;-0,508;365468,263812581;7347809,631849
AUTO0192;-23,97591;-46,32235;-5,052;-4,6;-0,452;365469,281295316;7347809,64139307
AUTO0193;-23,97591;-46,32235;-5,044;-4,6;-0,444;365469,281295316;7347809,64139307
AUTO0194;-23,97592;-46,32234;-5,076;-4,6;-0,476;365470,30916482;7347808,5436025
AUTO0195;-23,97592;-46,32234;-5,112;-4,6;-0,512;365470,30916482;7347808,5436025
AUTO0196;-23,97592;-46,32233;-5,066;-4,6;-0,466;365471,326647471;7347808,55314643
AUTO0197;-23,97593;-46,32233;-5,078;-4,6;-0,478000000000001;365471,337034168;7347807,44581187
AUTO0198;-23,97593;-46,32232;-5,114;-4,6;-0,514;365472,354516737;7347807,45535573
AUTO0199;-23,97594;-46,32231;-5,085;-4,6;-0,485;365473,382385847;7347806,35756496
AUTO0200;-23,97594;-46,32231;-5,111;-4,6;-0,511;365473,382385847;7347806,35756496
AUTO0201;-23,97595;-46,3223;-5,131;-4,6;-0,531000000000001;365474,410254802;7347805,25977412
AUTO0202;-23,97595;-46,3223;-5,11;-4,6;-0,510000000000001;365474,410254802;7347805,25977412
AUTO0203;-23,97595;-46,32229;-5,122;-4,6;-0,522;365475,427737206;7347805,26931777
AUTO0204;-23,97596;-46,32228;-5,142;-4,6;-0,542000000000001;365476,455605923;7347804,1715268
